League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Le Havre,Home,NA,990,25,16,22,3,0,16,28,57.1,12,15,5,10,17,42,18,0
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Lyon,Away,NA,990,8,5,2,3,3,5,11,45.5,6,5,1,4,9,17,3,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Lille,Home,NA,990,12,8,5,7,0,7,12,58.3,5,11,3,8,32,44,14,1
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Paris FC,Away,NA,990,17,12,3,11,3,9,14,64.3,5,4,1,3,23,40,5,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Fleury,Home,NA,990,25,16,4,18,3,7,7,100,0,12,3,9,22,47,2,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Guingamp,Away,NA,990,17,15,8,8,1,9,20,45,11,8,1,7,11,28,16,1
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Montpellier,Home,NA,990,16,14,7,6,3,6,10,60,4,11,3,8,11,27,9,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,23,15,10,9,4,16,21,76.2,5,13,6,7,16,39,13,1
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Stade de Reims,Home,NA,990,17,15,12,3,2,10,15,66.7,5,13,1,12,14,31,20,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Saint-Étienne,Away,NA,990,15,5,9,4,2,11,22,50,11,12,2,10,21,36,10,0
