League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Le Havre,Home,NA,990,1,0,0,12,5,0,3,17,16,0,0,0,51,5,18,21.7
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Lyon,Away,NA,990,0,0,0,5,11,2,36,9,5,0,0,0,65,18,5,78.3
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Lille,Home,NA,990,1,0,0,7,12,1,6,32,8,0,0,0,54,5,7,41.7
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Paris FC,Away,NA,990,1,0,0,13,6,4,17,23,12,0,0,0,78,7,5,58.3
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Fleury,Home,NA,990,0,0,0,10,9,2,20,22,16,0,0,0,76,3,9,25
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Guingamp,Away,NA,990,3,0,0,9,10,1,9,11,15,0,0,0,63,9,3,75
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Montpellier,Home,NA,990,1,0,0,10,9,0,19,11,14,0,0,0,51,2,4,33.3
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,2,0,0,9,9,0,12,16,15,0,0,0,46,4,2,66.7
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Stade de Reims,Home,NA,990,1,0,0,10,16,3,9,14,15,0,0,0,60,8,7,53.3
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Saint-Étienne,Away,NA,990,1,0,0,16,9,2,13,21,5,0,0,0,67,7,8,46.7
Championnat de France de Football Féminin,2023-09-17,Championnat de France de Football Féminin (Regular season),Bordeaux,4-1-4-1,0,0.2,NA,0,0,Paris Saint-Germain,4-3-3,3,2.2,Sakina Karchaoui (P) · 31&rsquor; Sandy Baltimore · 33&rsquor; Grace Geyoro · 35&rsquor;,1,0,Bordeaux,Home,NA,990,0,0,0,9,7,5,7,17,10,0,1,0,53,2,6,25
Championnat de France de Football Féminin,2023-09-17,Championnat de France de Football Féminin (Regular season),Bordeaux,4-1-4-1,0,0.2,NA,0,0,Paris Saint-Germain,4-3-3,3,2.2,Sakina Karchaoui (P) · 31&rsquor; Sandy Baltimore · 33&rsquor; Grace Geyoro · 35&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,1,0,0,7,8,4,14,10,6,1,0,0,56,6,2,75
Championnat de France de Football Féminin,2023-09-29,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,2.1,Mathilde Bourdieu · 14&rsquor; Gaëtane Thiney · 18&rsquor; Clara Matéo · 74&rsquor;,1,0,Fleury,4-3-3,1,0.4,Tianna Harris · 26&rsquor;,1,0,Paris FC,Home,NA,990,1,0,0,10,4,0,15,13,10,0,0,0,72,13,10,56.5
Championnat de France de Football Féminin,2023-09-29,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,2.1,Mathilde Bourdieu · 14&rsquor; Gaëtane Thiney · 18&rsquor; Clara Matéo · 74&rsquor;,1,0,Fleury,4-3-3,1,0.4,Tianna Harris · 26&rsquor;,1,0,Fleury,Away,NA,990,1,0,0,6,10,1,14,21,14,0,0,0,74,10,13,43.5
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,0,0.6,NA,1,0,Stade de Reims,4-1-4-1,0,0.4,NA,4,0,Guingamp,Home,NA,990,1,0,0,8,15,1,17,10,12,0,0,0,65,4,6,40
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,0,0.6,NA,1,0,Stade de Reims,4-1-4-1,0,0.4,NA,4,0,Stade de Reims,Away,NA,990,4,0,0,16,7,2,13,17,16,0,0,0,69,6,4,60
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Dijon,Home,NA,990,2,0,0,12,6,1,10,21,14,0,1,0,61,3,4,42.9
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Lille,Away,NA,990,2,0,0,6,12,2,15,15,13,1,0,0,58,4,3,57.1
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Bordeaux,Home,NA,990,1,0,0,15,6,4,8,18,7,0,0,0,63,2,11,15.4
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Le Havre,Away,NA,990,2,0,0,7,14,4,30,14,11,0,1,0,61,11,2,84.6
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Saint-Étienne,Home,NA,990,3,0,0,24,14,1,11,10,6,0,0,0,39,6,4,60
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Montpellier,Away,NA,990,2,0,0,14,24,4,27,7,7,0,0,0,45,4,6,40
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Paris Saint-Germain,Home,NA,990,1,0,0,8,13,1,17,8,10,0,0,0,52,6,19,24
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Lyon,Away,NA,990,3,0,0,13,8,1,17,11,10,0,0,0,55,19,6,76
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Saint-Étienne,Home,NA,990,4,0,0,17,11,0,12,16,12,0,0,0,53,2,4,33.3
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,1,0,0,11,17,4,19,13,13,0,0,0,58,4,2,66.7
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Le Havre,Home,NA,990,2,0,0,13,13,0,17,7,14,0,0,0,72,5,2,71.4
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,1,0.8,Deja Davis · 35&rsquor;,2,0,Paris FC,4-2-3-1,4,2.7,Louna Ribadeira · 4&rsquor; Louise Fleury · 23&rsquor; Louise Fleury · 47&rsquor; Louise Fleury · 76&rsquor;,1,0,Paris FC,Away,NA,990,1,0,0,14,12,0,11,19,11,0,0,0,65,2,5,28.6
Championnat de France de Football Féminin,2023-10-07,Championnat de France de Football Féminin (Regular season),Montpellier,4-4-2,3,1.4,Faustine Robert · 59&rsquor; Océane Deslandes · 62&rsquor; Nérilia Mondésir · 69&rsquor;,2,0,Guingamp,4-4-2,1,0.5,Marie-Charlotte Léger · 77&rsquor;,5,0,Montpellier,Home,NA,990,2,0,0,17,13,3,29,7,19,0,0,0,61,10,5,66.7
