League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Le Havre,Home,NA,990,290,248,42,7,0,1,3,11,1,1,0,0,194,0,5
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Lyon,Away,NA,990,636,575,59,12,1,4,36,29,12,6,6,0,539,2,11
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Lille,Home,NA,990,426,375,50,16,0,4,6,20,0,0,0,0,306,1,3
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Paris FC,Away,NA,990,607,559,44,8,0,1,17,25,6,2,4,0,493,4,8
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Fleury,Home,NA,990,441,393,46,9,0,2,20,27,4,3,1,0,339,2,7
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Guingamp,Away,NA,990,499,454,44,12,0,2,9,16,2,1,0,0,400,1,8
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Montpellier,Home,NA,990,437,390,47,8,0,0,19,26,6,4,1,0,350,0,7
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,289,225,64,10,0,0,12,35,3,2,1,0,186,0,10
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Stade de Reims,Home,NA,990,379,326,50,16,0,1,9,22,3,1,2,0,263,3,11
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Saint-Étienne,Away,NA,990,444,390,52,12,1,0,13,26,5,5,0,0,330,2,12
