League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Le Havre,Home,NA,990,0,0,0,0,5,0,1,0,401,25,17,15,0.3,0.3,0.2,8,0,194,290,66.9,13,203,6,11,6
Championnat de France de Football Féminin,2023-09-15,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,0,0.3,NA,1,0,Lyon,4-3-3,4,3.7,Eugénie Le Sommer · 25&rsquor; Wendie Renard · 47&rsquor; Daniëlle van de Donk · 73&rsquor; Vanessa Gilles · 86&rsquor;,0,0,Lyon,Away,NA,990,4,2,0,0,30,12,0,0,745,8,9,5,3.8,3.8,2.7,50,6,539,636,84.7,81,380,18,28,12
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Lille,Home,NA,990,0,0,0,0,6,1,1,0,518,12,32,11,0.3,0.3,0.1,8,0,306,426,71.8,19,246,7,14,5
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Lille,4-1-3-2,0,0.3,NA,1,0,Paris FC,4-2-3-1,4,3.3,Clara Matéo · 14&rsquor; Gaëtane Thiney · 45&rsquor; Louna Ribadeira · 80&rsquor; Gaëtane Thiney · 89&rsquor;,1,0,Paris FC,Away,NA,990,4,3,0,0,27,14,1,0,699,17,23,4,3.4,3.4,2.3,40,7,493,607,81.2,47,421,14,12,5
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Fleury,Home,NA,990,3,2,0,0,19,7,0,0,541,25,22,12,1.6,1.6,1.2,34,5,339,441,76.9,50,298,24,20,11
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,3,1.6,Batcheba Louis · 60&rsquor; Ewelina Kamczyk · 69&rsquor; Ewelina Kamczyk · 73&rsquor;,0,0,Guingamp,4-1-3-2,1,0.5,Marie-Charlotte Léger · 49&rsquor;,3,0,Guingamp,Away,NA,990,1,0,0,0,5,1,3,0,582,17,11,8,0.5,0.5,0.1,7,1,400,499,80.2,20,336,7,7,0
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Montpellier,Home,NA,990,2,0,0,0,18,5,1,0,543,16,11,11,2.5,2.5,1.3,24,2,350,437,80.1,29,268,13,21,5
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Montpellier,4-3-3,2,2.2,Faustine Robert · 3&rsquor; Faustine Robert · 74&rsquor;,1,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,0,0,0,0,7,2,2,0,386,23,16,13,0.2,0.2,0.2,8,0,186,289,64.4,19,182,12,10,4
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Stade de Reims,Home,NA,990,2,2,0,0,7,2,1,0,486,17,14,13,1.2,1.2,1,13,4,263,379,69.4,36,214,15,22,11
Championnat de France de Football Féminin,2023-09-16,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-4-2,2,1.2,Shana Chossenotte · 35&rsquor; Shana Chossenotte · 78&rsquor;,1,0,Saint-Étienne,4-2-3-1,0,0.9,NA,1,0,Saint-Étienne,Away,NA,990,0,0,0,0,10,5,1,0,552,15,21,12,0.9,0.9,0.8,18,0,330,444,74.3,43,280,14,15,5
