"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL","LeagueName","LeagueURL","StatType","X_per_90_Expected.1","Att..GK._Passes.1"
"2025-2026","Freiburg","Frauen-Bundesliga","Laura Benkarth","GER","GK","32-342",3,3,1,0,1,0,3.7,0.19,0.7,0.23,23,66,34.8,135,11,39.3,35.2,13,100,58.1,51,1,2,4,1.33,12,"https://fbref.com/en/players/82c4f339/Laura-Benkarth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-272",2,0,0,0,0,0,0.8,0.2,0.8,0.38,2,7,28.6,77,6,9.1,25.3,4,0,11.8,15,1,6.7,3,1.5,16.8,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Bayern Munich","Frauen-Bundesliga","Maria-Luisa Grohs","GER","GK","24-100",1,0,0,0,0,0,0.1,0.08,0.1,0.08,0,1,0,28,2,3.6,18.3,4,0,18.5,0,0,NA,2,2,22,"https://fbref.com/en/players/3668e21b/Maria-Luisa-Grohs","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Hoffenheim","Frauen-Bundesliga","Laura Dick","GER","GK","22-100",2,1,0,0,1,0,2,0.23,1,0.52,6,27,22.2,68,4,39.7,37,3,0,28,24,0,0,1,0.5,9.9,"https://fbref.com/en/players/2d43333a/Laura-Dick","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Werder Bremen","Frauen-Bundesliga","Mariella El Sherif","AUT","GK","21-019",2,2,0,0,0,0,2.8,0.3,0.8,0.42,14,32,43.8,117,7,24.8,31.6,6,50,44,25,0,0,2,1,10.3,"https://fbref.com/en/players/4a6f3d40/Mariella-El-Sherif","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Wolfsburg","Frauen-Bundesliga","Stina Johannes","GER","GK","25-241",2,4,0,1,0,0,2.6,0.43,-1.4,-0.72,3,9,33.3,40,4,12.5,26.8,8,50,30.6,18,0,0,2,1,17.8,"https://fbref.com/en/players/d8f1def3/Stina-Johannes","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Union Berlin","Frauen-Bundesliga","Cara Bösl","GER","GK","28-222",3,4,0,0,0,0,2,0.15,-2,-0.67,4,15,26.7,114,13,13.2,24.4,4,0,24.8,37,1,2.7,2,0.67,12.7,"https://fbref.com/en/players/862a8439/Cara-Bosl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Lina Altenburg","GER","GK","20-182",1,0,0,0,0,0,0.3,0.13,0.3,0.25,1,7,14.3,32,6,21.9,26.2,3,0,23.7,6,1,16.7,1,1,17.5,"https://fbref.com/en/players/ceb873f4/Lina-Altenburg","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Lea Paulick","GER","GK","26-019",1,3,0,0,0,0,2.2,0.37,-0.8,-0.75,1,7,14.3,27,6,18.5,26.3,5,40,30.4,8,0,0,2,2,16.6,"https://fbref.com/en/players/ee30975e/Lea-Paulick","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Friederike Abt","GER","GK","31-076",2,4,0,0,2,0,4.2,0.32,0.2,0.11,5,20,25,66,7,22.7,29.6,15,33.3,28.6,18,2,11.1,2,1,17.1,"https://fbref.com/en/players/7c51bea4/Friederike-Abt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","RB Leipzig","Frauen-Bundesliga","Elvira Herzog","SUI","GK","25-200",2,3,0,0,2,0,1.5,0.17,-1.5,-0.74,5,7,71.4,47,6,2.1,20.9,15,40,32.6,22,0,0,3,1.5,15.4,"https://fbref.com/en/players/2ba3e2e8/Elvira-Herzog","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Hamburger SV","Frauen-Bundesliga","Laura Sieger","GER","GK","25-215",1.3,3,1,0,0,0,1.6,0.16,-1.4,-1.03,4,21,19,28,2,57.1,41.9,8,62.5,42.3,33,3,9.1,2,1.53,10.6,"https://fbref.com/en/players/90177ab1/Laura-Sieger","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Hamburger SV","Frauen-Bundesliga","Inga Schuldt","GER","GK","28-173",1,6,0,0,0,0,1.9,0.19,-4.1,-4.13,1,6,16.7,20,6,30,35.4,2,0,23,12,0,0,1,1,22.7,"https://fbref.com/en/players/3151a778/Inga-Schuldt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Hamburger SV","Frauen-Bundesliga","Larissa Haidner","AUT","GK","20-187",0.7,0,0,0,0,0,0.3,0.16,0.3,0.46,10,18,55.6,19,2,78.9,46.1,5,60,41.8,16,0,0,0,0,5,"https://fbref.com/en/players/257050d3/Larissa-Haidner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Larissa Rusek","AUT","GK","20-263",2,5,1,0,1,0,5.2,0.28,0.2,0.09,9,30,30,44,4,59.1,38.8,21,19,21.7,43,0,0,1,0.5,10.7,"https://fbref.com/en/players/11c0166a/Larissa-Rusek","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Hannah Etzold","GER","GK","20-161",3,7,0,0,1,0,6.1,0.29,-0.9,-0.29,5,34,14.7,95,12,27.4,31.6,15,53.3,44.2,102,2,2,0,0,7.4,"https://fbref.com/en/players/636e368e/Hannah-Etzold","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Essen","Frauen-Bundesliga","Kim Sindermann","GER","GK","24-263",3,7,1,0,1,1,6.3,0.31,0.3,0.08,5,17,29.4,79,15,12.7,27,24,29.2,31.1,35,2,5.7,1,0.33,11.5,"https://fbref.com/en/players/a931eea3/Kim-Sindermann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Köln","Frauen-Bundesliga","Lisa Schmitz","GER","GK","33-140",2,3,0,0,1,0,1.9,0.18,-1.1,-0.54,2,10,20,50,5,18,27.6,2,50,38.5,25,0,0,3,1.5,14.2,"https://fbref.com/en/players/38bbb38c/Lisa-Schmitz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",NA,NA
"2025-2026","Freiburg","Frauen-Bundesliga","Laura Benkarth","GER","GK","32-342",3,3,1,0,1,0,3.7,0.19,0.7,NA,23,66,34.8,NA,11,39.3,35.2,13,100,58.1,51,1,2,4,1.33,12,"https://fbref.com/en/players/82c4f339/Laura-Benkarth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",0.23,135
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-272",2,0,0,0,0,0,0.8,0.2,0.8,NA,2,7,28.6,NA,6,9.1,25.3,4,0,11.8,15,1,6.7,3,1.5,16.8,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","keeper_adv",0.38,77
