"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","31",19.5,0,0,0,18,19,15,25,6,21,0,0,0,64,11,14,44,"https://fbref.com/en/players/363b99a4/Pernille-Harder","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW,MF","23",18.3,0,0,0,12,16,12,133,9,22,0,0,0,86,7,12,36.8,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Giulia Gwinn","GER","DF","25",18.1,1,0,0,12,19,5,61,17,24,0,0,0,77,9,4,69.2,"https://fbref.com/en/players/36cccedb/Giulia-Gwinn","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","31",17.7,1,0,0,16,9,2,127,30,34,0,0,0,85,6,8,42.9,"https://fbref.com/en/players/aaf0780f/Carolin-Simon","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","29",16.1,3,1,1,15,7,0,2,16,13,0,0,0,79,34,11,75.6,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","26",16.1,1,0,0,2,7,1,7,14,19,0,0,0,81,11,6,64.7,"https://fbref.com/en/players/3ec11922/Tuva-Hansen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","26",14.1,0,0,0,9,10,7,8,1,2,0,0,0,32,12,12,50,"https://fbref.com/en/players/4528b262/Lea-Schuller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","31",13.3,1,0,0,15,14,2,4,13,32,1,0,0,82,11,8,57.9,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","20",12,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,100,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","25",11.4,2,0,0,20,19,0,6,6,11,0,0,0,75,4,4,50,"https://fbref.com/en/players/89c43b54/Georgia-Stanway","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Sydney Lohmann","GER","MF,FW","24",10.1,1,0,0,4,11,0,7,6,8,0,0,0,59,12,5,70.6,"https://fbref.com/en/players/f149a5a9/Sydney-Lohmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Maria-Luisa Grohs","GER","GK","23",10,1,0,0,0,0,0,0,0,0,0,0,0,35,2,0,100,"https://fbref.com/en/players/3668e21b/Maria-Luisa-Grohs","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW,MF","29",9.5,2,0,0,8,7,2,11,6,8,0,0,0,32,3,2,60,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Julia Zigiotti Olme","SWE","MF","26",9.3,3,0,0,12,8,0,7,26,11,0,0,0,47,18,11,62.1,"https://fbref.com/en/players/d3f7c3ef/Julia-Zigiotti-Olme","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Linda Sembrant","SWE","DF","37",8.9,3,1,1,7,0,0,1,6,4,0,1,0,35,8,14,36.4,"https://fbref.com/en/players/9425cd71/Linda-Sembrant","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","FW,MF","17",8.2,0,0,0,3,8,2,14,6,16,0,0,0,36,6,4,60,"https://fbref.com/en/players/70c9b883/Alara-Sehitler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","30",7.8,0,0,0,6,4,2,1,14,4,0,0,0,24,7,8,46.7,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","MF,FW","29",7.7,4,0,0,11,17,7,9,7,9,0,0,0,31,9,11,45,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","FW,MF","19",2.6,0,0,0,4,2,0,3,0,4,0,0,0,15,2,0,100,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Samantha Kerr","SCO","MF","25",2.6,0,0,0,5,1,0,0,4,5,0,0,0,11,1,3,25,"https://fbref.com/en/players/3d4ffba1/Samantha-Kerr","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","MF","24",2.3,0,0,0,4,7,0,2,1,3,0,0,0,12,0,1,0,"https://fbref.com/en/players/d83b882b/Arianna-Caruso","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF,FW","19",2.2,0,0,0,2,7,0,1,2,2,0,0,0,10,2,1,66.7,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Weronika Zawistowska","POL","FW,MF","24",1.9,0,0,0,3,8,2,7,2,5,0,0,0,7,1,1,50,"https://fbref.com/en/players/a204c740/Weronika-Zawistowska","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Michelle Ulbrich","GER","DF","27",1.4,0,0,0,0,0,0,0,2,1,0,0,0,8,2,1,66.7,"https://fbref.com/en/players/e8840be1/Michelle-Ulbrich","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Ana María Guzmán","COL","MF,DF","19",0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,"https://fbref.com/en/players/8d5a8340/Ana-Maria-Guzman","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Janina Minge","GER","DF,MF","25",19.5,0,0,0,12,11,2,9,23,35,0,0,0,115,34,18,65.4,"https://fbref.com/en/players/7c63ff02/Janina-Minge","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Svenja Huth","GER","MF","33",18.8,3,0,0,16,14,1,132,16,23,0,0,0,90,4,6,40,"https://fbref.com/en/players/8b5f141c/Svenja-Huth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Alexandra Popp","GER","FW","33",17.8,2,0,0,23,20,5,22,12,15,1,0,0,74,54,16,77.1,"https://fbref.com/en/players/655e7bd0/Alexandra-Popp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lineth Beerensteyn","NED","FW,MF","27",16.8,2,0,0,10,22,13,11,10,2,0,0,0,49,23,25,47.9,"https://fbref.com/en/players/40ecae9f/Lineth-Beerensteyn","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lena Lattwein","GER","MF","24",14.9,4,0,0,25,12,0,6,13,16,0,0,0,74,18,10,64.3,"https://fbref.com/en/players/22cd470c/Lena-Lattwein","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Jule Brand","GER","FW,MF","21",13.8,1,0,0,13,38,3,11,14,25,0,0,0,75,6,7,46.2,"https://fbref.com/en/players/0ab91913/Jule-Brand","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Lynn Wilms","NED","DF,MF","23",15.3,2,0,0,18,13,1,100,18,28,0,0,0,57,18,12,60,"https://fbref.com/en/players/3c0b2466/Lynn-Wilms","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Sarai Linder","GER","DF,MF","24",14.3,1,0,0,11,13,2,49,17,14,0,0,0,66,5,5,50,"https://fbref.com/en/players/bedec045/Sarai-Linder","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Marina Hegering","GER","DF","34",11.8,2,0,0,7,4,0,1,21,10,0,1,0,74,21,9,70,"https://fbref.com/en/players/df1695c1/Marina-Hegering","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Kathrin Hendrich","GER","DF","32",12.2,2,0,0,7,6,0,5,11,13,0,1,0,58,5,7,41.7,"https://fbref.com/en/players/e5b01fee/Kathrin-Hendrich","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Vivien Endemann","GER","FW,MF","22",10.9,1,0,0,10,7,9,49,6,19,1,0,0,47,2,3,40,"https://fbref.com/en/players/e602c142/Vivien-Endemann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Merle Frohms","GER","GK","29",12,1,0,0,0,1,0,0,0,0,0,0,1,38,0,0,NA,"https://fbref.com/en/players/948d8bd2/Merle-Frohms","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Caitlin Dijkstra","NED","DF","25",10.3,0,0,0,2,7,0,4,16,13,0,0,0,58,11,9,55,"https://fbref.com/en/players/29429b4b/Caitlin-Dijkstra","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Anneke Borbe","GER","GK","23",10,0,0,0,0,3,0,0,0,0,0,0,0,27,1,0,100,"https://fbref.com/en/players/37469b31/Anneke-Borbe","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Joelle Wedemeyer","GER","DF","27",9.8,1,0,0,7,2,1,19,11,10,0,0,0,55,11,4,73.3,"https://fbref.com/en/players/2e03aaa7/Joelle-Wedemeyer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Sveindís Jane Jónsdóttir","ISL","FW,DF","23",8.8,3,0,0,11,12,0,24,11,10,0,1,0,46,11,11,50,"https://fbref.com/en/players/ce6e8fa2/Sveindis-Jane-Jonsdottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Ella Inez Peddemors","NED","MF","21",5.9,0,0,0,5,6,1,4,3,7,0,0,0,24,2,6,25,"https://fbref.com/en/players/fc47f599/Ella-Inez-Peddemors","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Nuria Rábano","ESP","DF,MF","25",4.6,0,0,0,3,0,0,30,3,7,0,0,0,31,0,2,0,"https://fbref.com/en/players/a5d0b32a/Nuria-Rabano","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Justine Kielland","NOR","MF","21",4.5,0,0,0,2,4,0,14,2,3,0,0,0,38,2,1,66.7,"https://fbref.com/en/players/b7fb0749/Justine-Kielland","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Diána Németh","HUN","DF,MF","19",1.7,0,0,0,4,0,0,8,3,1,0,0,0,6,3,1,75,"https://fbref.com/en/players/09b94fe1/Diana-Nemeth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Rebecka Blomqvist","SWE","FW,MF","27",3.9,1,0,0,3,1,1,14,0,4,0,0,0,20,1,3,25,"https://fbref.com/en/players/fdae87ec/Rebecka-Blomqvist","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Chantal Hagel","GER","MF","26",2.1,1,0,0,7,2,0,2,0,0,0,0,0,11,0,0,NA,"https://fbref.com/en/players/1c2bbcc4/Chantal-Hagel","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Tabea Waßmuth","GER","FW,MF","27",1,0,0,0,0,0,1,2,0,4,0,0,0,2,0,2,0,"https://fbref.com/en/players/277cdd4e/Tabea-Wassmuth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Luca Papp","HUN","FW,MF","22",0.9,0,0,0,1,0,0,2,3,2,0,0,0,7,1,1,50,"https://fbref.com/en/players/546ed9cc/Luca-Papp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Fenna Kalma","NED","FW","24",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/89e0e515/Fenna-Kalma","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Kristin Demann","GER","MF","31",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"https://fbref.com/en/players/6958ef5f/Kristin-Demann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Stina Johannes","GER","GK","24",22,1,0,0,0,3,0,0,0,0,0,0,0,47,7,1,87.5,"https://fbref.com/en/players/d8f1def3/Stina-Johannes","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Laura Freigang","GER","MF,FW","26",20.6,0,0,0,28,14,20,12,8,16,0,0,0,76,29,27,51.8,"https://fbref.com/en/players/8898987d/Laura-Freigang","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Géraldine Reuteler","SUI","FW,MF","25",18.8,3,0,0,14,27,10,34,23,21,0,0,0,113,6,8,42.9,"https://fbref.com/en/players/f64daf84/Geraldine-Reuteler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","misc"
