"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time","LeagueName","LeagueURL","StatType"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","31",22,1757,80,88.7,19.5,21,82,11,1,45,0,2.68,51,13,38,1.95,-0.07,41,11.4,29.6,1.52,0.01,"https://fbref.com/en/players/363b99a4/Pernille-Harder",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW,MF","23",22,1644,75,83,18.3,20,79,5,2,36,0,2.68,46,13,33,1.81,-0.87,38.2,10.2,28,1.53,0.09,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Giulia Gwinn","GER","DF","25",19,1629,86,82.3,18.1,18,89,15,1,29,3,2.63,48,13,35,1.93,-0.12,37.3,11.7,25.6,1.41,-0.58,"https://fbref.com/en/players/36cccedb/Giulia-Gwinn",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","31",22,1590,72,80.3,17.7,18,83,12,4,24,0,2.68,46,10,36,2.04,0.42,37.8,9.6,28.2,1.6,0.43,"https://fbref.com/en/players/aaf0780f/Carolin-Simon",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","29",18,1448,80,73.1,16.1,17,84,13,1,16,1,2.61,42,11,31,1.93,-0.1,35.9,7.5,28.5,1.77,0.94,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","26",20,1449,72,73.2,16.1,16,85,13,4,21,1,2.65,44,10,34,2.11,0.59,33.1,9.2,23.9,1.48,-0.12,"https://fbref.com/en/players/3ec11922/Tuva-Hansen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","26",22,1268,58,64,14.1,13,79,5,9,27,0,2.68,32,7,25,1.77,-0.5,26.2,8,18.2,1.3,-0.61,"https://fbref.com/en/players/4528b262/Lea-Schuller",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","31",17,1198,70,60.5,13.3,13,84,7,4,25,2,2.59,40,12,28,2.1,0.38,30.7,8.2,22.4,1.69,0.43,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","20",12,1080,90,54.5,12,12,90,12,0,NA,6,2.83,29,4,25,2.08,0.28,25.1,5.9,19.1,1.6,0.18,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","25",12,1025,85,51.8,11.4,12,85,8,0,NA,0,2.42,28,10,18,1.58,-0.78,24.7,6.3,18.4,1.61,0.2,"https://fbref.com/en/players/89c43b54/Georgia-Stanway",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Sydney Lohmann","GER","MF,FW","24",17,912,54,46.1,10.1,11,73,2,6,19,2,2.82,30,4,26,2.57,1.13,22,6.8,15.2,1.5,-0.03,"https://fbref.com/en/players/f149a5a9/Sydney-Lohmann",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Maria-Luisa Grohs","GER","GK","23",10,900,90,45.5,10,10,90,10,0,NA,5,2.5,27,9,18,1.8,-0.28,20.4,6.2,14.2,1.42,-0.18,"https://fbref.com/en/players/3668e21b/Maria-Luisa-Grohs",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW,MF","29",18,856,48,43.2,9.5,9,66,0,9,29,1,2.61,22,9,13,1.37,-1.04,18.7,5.7,12.9,1.36,-0.27,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Julia Zigiotti Olme","SWE","MF","26",16,837,52,42.3,9.3,9,85,7,7,10,5,2.88,19,1,18,1.94,-0.03,17.4,2.9,14.5,1.56,0.08,"https://fbref.com/en/players/d3f7c3ef/Julia-Zigiotti-Olme",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Linda Sembrant","SWE","DF","37",11,805,73,40.7,8.9,9,88,8,2,6,10,2.73,21,3,18,2.01,0.1,17.4,3.3,14,1.57,0.09,"https://fbref.com/en/players/9425cd71/Linda-Sembrant",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","FW,MF","17",16,738,46,37.3,8.2,8,67,1,8,26,2,2.56,18,3,15,1.83,-0.2,17.7,4.6,13.1,1.59,0.13,"https://fbref.com/en/players/70c9b883/Alara-Sehitler",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","30",11,702,64,35.5,7.8,8,85,6,3,9,5,2.64,20,4,16,2.05,0.15,15,4.8,10.1,1.3,-0.33,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","MF,FW","29",17,692,41,34.9,7.7,8,61,0,9,23,2,2.82,24,4,20,2.6,0.99,16,3.4,12.6,1.64,0.2,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","FW,MF","19",6,236,39,11.9,2.6,3,61,0,3,18,2,3,8,1,7,2.67,0.81,5.9,1.6,4.3,1.64,0.14,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Samantha Kerr","SCO","MF","25",8,238,30,12,2.6,2,90,2,6,10,3,2.38,7,0,7,2.65,0.79,3.9,1.6,2.3,0.86,-0.74,"https://fbref.com/en/players/3d4ffba1/Samantha-Kerr",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
