"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","31",19.5,14,67,32,47.8,3.43,1.64,0.21,0.44,12.4,0,0,0,10.6,10.6,0.16,3.4,3.4,"https://fbref.com/en/players/363b99a4/Pernille-Harder","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW,MF","23",18.3,7,45,21,46.7,2.46,1.15,0.16,0.33,15.7,3,0,0,5.2,5.2,0.12,1.8,1.8,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Giulia Gwinn","GER","DF","25",18.1,0,19,5,26.3,1.05,0.28,0,0,17.6,1,0,0,2,2,0.11,-2,-2,"https://fbref.com/en/players/36cccedb/Giulia-Gwinn","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","31",17.7,3,15,4,26.7,0.85,0.23,0.2,0.75,19.6,3,0,0,0.9,0.9,0.06,2.1,2.1,"https://fbref.com/en/players/aaf0780f/Carolin-Simon","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","29",16.1,2,21,5,23.8,1.31,0.31,0.1,0.4,11.5,0,0,0,1.6,1.6,0.08,0.4,0.4,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","26",16.1,0,1,1,100,0.06,0.06,0,0,13.8,0,0,0,0,0,0.05,0,0,"https://fbref.com/en/players/3ec11922/Tuva-Hansen","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","26",14.1,11,46,25,54.3,3.26,1.77,0.24,0.44,10.7,0,0,0,8.4,8.4,0.19,2.6,2.6,"https://fbref.com/en/players/4528b262/Lea-Schuller","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","31",13.3,1,8,2,25,0.6,0.15,0.13,0.5,19.9,0,0,0,0.6,0.6,0.07,0.4,0.4,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","20",12,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","25",11.4,5,22,7,31.8,1.93,0.61,0.14,0.43,24.8,0,2,3,4.3,2,0.09,0.7,1,"https://fbref.com/en/players/89c43b54/Georgia-Stanway","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
