"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time","LeagueName","LeagueURL","StatType"
"2021-2022","Köln","Frauen-Bundesliga","Adriana Achcińska","POL","MF","19",19,19,1618,18,0,1,1,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0.06,0.06,0,0.06,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d85ee236/Adriana-Achcinska",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Sand","Frauen-Bundesliga","Adrienne Jordan","USA","DF","27",21,22,1800,20,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.05,0,0.05,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f34c301f/Adrienne-Jordan",22,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Carl-Zeiss Jena","Frauen-Bundesliga","Adrijana Mori","SVN","MF","20",8,5,446,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3279d9c5/Adrijana-Mori",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Werder Bremen","Frauen-Bundesliga","Agata Tarczyńska","POL","FW,MF","33",8,2,282,3.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/880e474e/Agata-Tarczynska",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Eintracht Frankfurt","Frauen-Bundesliga","Alexandra Jóhannsdóttir","ISL","MF","21",17,1,283,3.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4c5c0dcf/Alexandra-Johannsdottir",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Wolfsburg","Frauen-Bundesliga","Alexandra Popp","GER","FW,MF","30",17,7,596,6.6,2,3,5,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.3,0.45,0.76,0.3,0.76,NA,NA,NA,NA,NA,"https://fbref.com/en/players/655e7bd0/Alexandra-Popp",9,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Köln","Frauen-Bundesliga","Alicia-Sophie Gudorf","GER","DF","20",18,15,1224,13.6,0,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.22,0,0.22,NA,NA,NA,NA,NA,"https://fbref.com/en/players/73d01e09/Alicia-Sophie-Gudorf",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Freiburg","Frauen-Bundesliga","Alina Bantle","GER","MF","21",1,0,6,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d4f5f37b/Alina-Bantle",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Wolfsburg","Frauen-Bundesliga","Almuth Schult","GER","GK","30",17,16,1440,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/992b30a1/Almuth-Schult",16,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
"2021-2022","Köln","Frauen-Bundesliga","Amber Barrett","IRL","FW","25",18,7,688,7.6,4,1,5,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.52,0.13,0.65,0.39,0.52,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8d90013c/Amber-Barrett",NA,"2021 2022 Frauen Bundesliga","https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats","standard"
