League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Freiburg,Home,NA,990,1,0,0,4,8,3,6,16,23,0,0,0,82,13,15,46.4
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Bayern Munich,Away,NA,990,2,0,0,10,4,1,27,10,14,0,0,0,78,15,13,53.6
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,Hoffenheim,Home,NA,990,0,0,0,7,11,5,18,6,7,0,0,0,73,5,7,41.7
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,MSV Duisburg,Away,NA,990,4,0,0,11,7,0,6,12,21,0,0,1,54,7,5,58.3
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,0,0,0,6,9,2,3,12,14,0,0,0,46,4,6,40
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,Werder Bremen,Away,NA,990,2,0,0,9,6,1,35,7,9,0,0,0,68,5,5,50
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,Köln,Home,NA,980,2,1,1,4,19,2,21,13,9,0,0,0,70,8,7,53.3
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,RB Leipzig,Away,NA,965,5,1,1,19,4,1,15,11,14,0,0,0,54,7,8,46.7
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Wolfsburg,Home,NA,990,0,0,0,6,13,0,20,15,12,0,0,0,52,10,6,62.5
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Bayer Leverkusen,Away,NA,990,2,0,0,13,6,1,10,9,14,0,0,0,48,6,10,37.5
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Essen,4-3-3,2,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0,0.8,NA,2,0,Essen,Home,NA,990,1,0,0,8,4,1,22,11,16,0,0,0,66,8,12,40
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Essen,4-3-3,2,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0,0.8,NA,2,0,Eintracht Frankfurt,Away,NA,990,2,0,0,4,8,5,21,14,18,0,0,0,73,11,8,57.9
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,Essen,4-3-3,2,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,RB Leipzig,Home,NA,990,3,0,0,10,7,4,7,18,26,0,0,0,68,6,8,42.9
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,Essen,4-3-3,2,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,Essen,Away,NA,990,1,0,0,8,10,3,26,10,18,0,0,0,78,8,7,53.3
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Bayer Leverkusen,Home,NA,990,1,0,0,15,13,2,26,20,8,0,0,0,50,7,6,53.8
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,1. FC Nürnberg,Away,NA,990,2,0,0,13,14,1,4,11,10,0,0,0,24,6,7,46.2
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Werder Bremen,Home,NA,990,3,0,0,16,7,0,35,8,14,0,1,0,67,12,16,42.9
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Hoffenheim,Away,NA,990,2,0,0,7,15,2,12,11,18,0,0,0,72,18,12,60
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Eintracht Frankfurt,Home,NA,990,0,0,0,10,12,7,8,13,13,1,0,0,56,8,17,32
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Wolfsburg,Away,NA,990,1,0,0,14,10,1,17,22,26,0,1,0,68,15,10,60
