League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Freiburg,Home,NA,990,329,459,71.7,5697,2406,143,178,80.3,156,201,77.6,25,58,43.1,0,0.2,0.5,4,13,2,1,20
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Bayern Munich,Away,NA,990,465,600,77.5,9367,3351,134,180,74.4,271,316,85.8,59,93,63.4,0,1.5,1.6,12,46,10,2,68
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,Hoffenheim,Home,NA,990,406,520,78.1,8611,3695,102,128,79.7,237,282,84,62,93,66.7,5,2.6,2.2,17,38,18,1,49
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,MSV Duisburg,Away,NA,990,159,280,56.8,3389,1738,65,95,68.4,59,90,65.6,34,86,39.5,0,0,0,1,16,0,0,24
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,227,329,69,4388,1927,72,93,77.4,129,163,79.1,26,61,42.6,1,0.1,0,1,6,1,0,8
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,Werder Bremen,Away,NA,990,403,508,79.3,7926,3310,138,169,81.7,205,243,84.4,53,82,64.6,5,2.6,2.3,17,53,20,10,62
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,Köln,Home,NA,980,251,393,63.9,5147,2433,88,122,72.1,120,156,76.9,40,88,45.5,1,0.4,0.4,9,16,3,2,19
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,RB Leipzig,Away,NA,965,230,363,63.4,4627,1969,75,103,72.8,127,166,76.5,26,71,36.6,1,0.4,0.3,6,17,1,1,17
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Wolfsburg,Home,NA,990,479,586,81.7,8512,3837,213,240,88.8,219,252,86.9,42,71,59.2,2,1.8,1.4,16,42,12,1,42
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Bayer Leverkusen,Away,NA,990,203,300,67.7,4259,1837,58,83,69.9,110,136,80.9,33,72,45.8,0,0.1,0.1,4,18,1,0,26
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Essen,4-3-3,2,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0,0.8,NA,2,0,Essen,Home,NA,990,142,270,52.6,3051,1721,53,86,61.6,54,78,69.2,29,75,38.7,2,0.4,0.2,6,16,4,2,22
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Essen,4-3-3,2,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0,0.8,NA,2,0,Eintracht Frankfurt,Away,NA,990,514,649,79.2,8786,3643,234,265,88.3,239,281,85.1,32,60,53.3,0,0.8,0.9,8,56,7,1,71
