League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Freiburg,Home,NA,990,459,396,60,9,0,1,6,32,0,0,0,0,329,3,12
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern Munich,4-2-3-1,2,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Bayern Munich,Away,NA,990,600,546,53,7,0,2,27,34,7,7,0,0,465,1,7
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,Hoffenheim,Home,NA,990,520,464,51,10,2,2,18,29,6,3,2,0,406,5,7
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),Hoffenheim,4-3-3,9,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0,0.2,NA,4,0,MSV Duisburg,Away,NA,990,280,231,49,11,0,4,6,10,1,1,0,0,159,0,5
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,329,278,49,10,0,2,3,19,1,0,0,0,227,2,8
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,Werder Bremen,Away,NA,990,508,448,59,8,0,2,35,41,7,5,2,0,403,1,4
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,Köln,Home,NA,980,393,315,76,19,0,3,21,40,9,4,4,0,251,2,16
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Köln,4-4-2,2,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,RB Leipzig,Away,NA,965,363,313,49,6,0,3,15,25,3,0,0,3,230,1,13
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Wolfsburg,Home,NA,990,586,526,60,14,0,0,20,30,10,7,0,0,479,0,12
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),Wolfsburg,4-2-3-1,3,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0,0.4,NA,2,0,Bayer Leverkusen,Away,NA,990,300,252,47,5,0,4,10,29,2,1,1,0,203,1,4
