League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2.0,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern München,4-2-3-1,2.0,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Freiburg,Home,,990.0,2,0,0,0,10,4,1,0,613.0,27.0,16,13.0,1.2,1.2,0.2,12.0,2.0,329.0,459.0,71.7,20.0,295.0,10.0,26.0,11.0,,,,,,,,
Frauen-Bundesliga,2023-09-15,Frauen-Bundesliga (Matchweek 1),Freiburg,4-2-3-1,2.0,1.1,Janina Minge · 6&rsquor; Svenja Fölmli · 90+7&rsquor;,1,0,Bayern München,4-2-3-1,2.0,2.6,Lea Schüller · 21&rsquor; Katharina Naschenweng · 90&rsquor;,2,0,Bayern München,Away,,990.0,2,0,0,0,22,3,2,0,734.0,28.0,10,16.0,2.6,2.6,1.5,32.0,1.0,465.0,600.0,77.5,68.0,457.0,22.0,27.0,15.0,,,,,,,,
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),TSG 1899 Hoffenheim,4-3-3,9.0,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0.0,0.2,,4,0,TSG 1899 Hoffenheim,Home,,990.0,8,5,0,0,26,9,0,0,616.0,8.0,6,6.0,3.3,3.3,2.6,41.0,13.0,406.0,520.0,78.1,49.0,235.0,18.0,19.0,6.0,,,,,,,,
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),TSG 1899 Hoffenheim,4-3-3,9.0,3.2,Jana Feldkamp · 17&rsquor; Melissa Kössler · 32&rsquor; Mara Alber · 45+1&rsquor; Melissa Kössler · 46&rsquor; Melissa Kössler · 52&rsquor; Emilie Henriksen (OG) · 58&rsquor; Vanessa Leimenstoll · 80&rsquor; Nicole Billa · 84&rsquor; Nicole Billa · 89&rsquor;,0,0,MSV Duisburg,5-4-1,0.0,0.2,,4,0,MSV Duisburg,Away,,990.0,0,0,0,0,4,2,4,0,388.0,32.0,12,11.0,0.2,0.2,0.0,6.0,0.0,159.0,280.0,56.8,24.0,145.0,6.0,6.0,3.0,,,,,,,,
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1.0,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5.0,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,1. FC Nürnberg,Home,,990.0,1,1,0,0,3,3,0,0,444.0,21.0,12,9.0,0.1,0.1,0.1,2.0,2.0,227.0,329.0,69.0,8.0,222.0,5.0,5.0,2.0,,,,,,,,
Frauen-Bundesliga,2023-09-16,Frauen-Bundesliga (Matchweek 1),1. FC Nürnberg,3-4-3,1.0,0.1,Franziska Mai · 17&rsquor;,0,0,Werder Bremen,3-3-3-1,5.0,3.2,Sophie Weidauer · 41&rsquor; Lina Hausicke · 47&rsquor; Lina Hausicke · 55&rsquor; Maja Sternad · 59&rsquor; Amira Dahl · 74&rsquor;,2,0,Werder Bremen,Away,,990.0,5,5,0,0,23,8,2,0,600.0,11.0,7,8.0,3.2,3.2,2.6,40.0,9.0,403.0,508.0,79.3,62.0,276.0,17.0,17.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),FC Köln,4-4-2,2.0,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1.0,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,FC Köln,Home,,980.0,2,1,0,0,16,5,2,1,500.0,10.0,13,17.0,0.7,0.7,0.4,22.0,3.0,251.0,393.0,63.9,19.0,226.0,17.0,16.0,6.0,,,,,,,,
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),FC Köln,4-4-2,2.0,0.7,Marleen Schimmer · 5&rsquor; Sharon Beck · 62&rsquor; Martyna Wiankowska · 81&rsquor;,3,1,RB Leipzig,4-2-3-1,1.0,0.6,Sandra Starke · 12&rsquor; Julia Landenberger · 66&rsquor;,6,1,RB Leipzig,Away,,965.0,1,1,0,0,9,2,5,1,479.0,17.0,11,18.0,0.6,0.6,0.4,13.0,1.0,230.0,363.0,63.4,17.0,174.0,7.0,8.0,4.0,,,,,,,,
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),VfL Wolfsburg,4-2-3-1,3.0,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0.0,0.4,,2,0,VfL Wolfsburg,Home,,990.0,3,2,0,0,22,11,0,0,690.0,17.0,15,6.0,2.2,2.2,1.8,38.0,5.0,479.0,586.0,81.7,42.0,337.0,12.0,16.0,12.0,,,,,,,,
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),VfL Wolfsburg,4-2-3-1,3.0,2.1,Lena Oberdorf · 15&rsquor; Lena Lattwein · 21&rsquor; Sveindís Jane Jónsdóttir · 48&rsquor;,0,0,Bayer Leverkusen,5-3-2,0.0,0.4,,2,0,Bayer Leverkusen,Away,,990.0,0,0,0,0,7,2,2,0,414.0,20.0,9,15.0,0.4,0.4,0.1,9.0,0.0,203.0,300.0,67.7,26.0,240.0,14.0,13.0,9.0,,,,,,,,
