matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals
3663965,2021-08-27 16:30:00+00:00,394119,Lyon,1070036,Reims,True,3,0
3663964,2021-08-28 12:30:00+00:00,612967,Saint-Etienne,862896,Bordeaux,True,1,1
3663963,2021-08-28 12:30:00+00:00,628136,ASJ Soyaux (W),608066,GPSO 92 Issy (W),True,2,0
3663966,2021-08-28 12:30:00+00:00,862893,Paris FC,597900,Guingamp,True,4,1
3663962,2021-08-28 12:30:00+00:00,593381,Dijon Foot,606039,Montpellier,True,1,2
3663961,2021-08-29 10:55:00+00:00,294858,Paris Saint Germain,862902,Fleury Merogis U.S,True,5,0
3663968,2021-09-03 16:30:00+00:00,606039,Montpellier (W),294858,Paris Saint Germain (W),True,0,1
3663967,2021-09-03 16:30:00+00:00,862902,Fleury Merogis U.S,862893,Paris FC,True,0,1
3663972,2021-09-04 12:30:00+00:00,608066,GPSO 92 Issy,593381,Dijon Foot,True,0,2
3663970,2021-09-04 12:30:00+00:00,1070036,Reims,597900,Guingamp,True,0,0
3663969,2021-09-04 12:30:00+00:00,862896,Bordeaux (W),628136,ASJ Soyaux (W),True,6,0
3663971,2021-09-05 11:00:00+00:00,394119,Lyon,612967,Saint-Etienne,True,6,0
3663974,2021-09-10 16:30:00+00:00,597900,Guingamp,606039,Montpellier,True,2,1
3663976,2021-09-11 12:30:00+00:00,862893,Paris FC,1070036,Reims,True,3,0
3663977,2021-09-11 12:30:00+00:00,612967,Saint-Etienne,608066,GPSO 92 Issy,True,0,1
3663978,2021-09-12 13:05:00+00:00,394119,Lyon,593381,Dijon Foot,True,6,0
3663975,2021-09-12 13:05:00+00:00,628136,ASJ Soyaux (W),294858,Paris Saint Germain (W),True,0,2
3663973,2021-09-12 13:05:00+00:00,862896,Bordeaux,862902,Fleury Merogis U.S,True,1,2
3664259,2021-09-24 16:30:00+00:00,394119,Lyon,597900,Guingamp,True,4,0
3664260,2021-09-25 12:30:00+00:00,608066,GPSO 92 Issy (W),862896,Bordeaux (W),True,0,1
