"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","Season"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Fri",2025-09-05,"18:30","Eint Frankfurt",5,3.4,"Essen",0,0.5,NA,"Stadion am Brentanobad","Davina Lutz",NA,"https://fbref.com/en/matches/0ac03876/Eintracht-Frankfurt-Essen-September-5-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Sat",2025-09-06,"14:00","Köln",0,0.8,"RB Leipzig",2,0.8,NA,"Franz-Kremer-Stadion","Karoline Wacker",NA,"https://fbref.com/en/matches/62254b60/Koln-RB-Leipzig-September-6-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Sat",2025-09-06,"17:45","Bayern Munich",2,1.4,"Leverkusen",0,0.4,NA,"Allianz Arena","Franziska Wildfeuer",NA,"https://fbref.com/en/matches/35ddae8a/Bayern-Munich-Bayer-Leverkusen-September-6-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Sun",2025-09-07,"14:00","Werder Bremen",1,2,"Freiburg",1,0.8,NA,"Weserstadion Platz 11","Annika Kost",NA,"https://fbref.com/en/matches/46e997f8/Werder-Bremen-Freiburg-September-7-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Sun",2025-09-07,"16:00","Hamburger SV",3,1.2,"Wolfsburg",3,2.1,11934,"Volksparkstadion","Angelika Söder",NA,"https://fbref.com/en/matches/2642f453/Hamburger-SV-Wolfsburg-September-7-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Sun",2025-09-07,"18:30","Union Berlin",1,2.8,"1. FC Nürnberg",1,0.6,NA,"Stadion An der Alten Försterei","Riem Hussein",NA,"https://fbref.com/en/matches/87e41edd/Union-Berlin-1-FC-Nurnberg-September-7-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"1","Mon",2025-09-08,"18:00","Carl-Zeiss Jena",1,0.8,"Hoffenheim",4,2.8,NA,"Ernst-Abbe-Sportfeld","Lara Wolf",NA,"https://fbref.com/en/matches/9b24723d/Carl-Zeiss-Jena-Hoffenheim-September-8-2025-Frauen-Bundesliga","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Fri",2025-11-07,"18:30","Bayern Munich",NA,NA,"Union Berlin",NA,NA,NA,"FC Bayern Campus Platz 1","",NA,"https://fbref.com/en/stathead/matchup/teams/51ec22be/31429172/Bayern-Munich-vs-Union-Berlin-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Sat",2025-11-08,"14:00","Wolfsburg",NA,NA,"Eint Frankfurt",NA,NA,NA,"AOK Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/a1393014/97b7c0e8/Wolfsburg-vs-Eintracht-Frankfurt-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Sun",2025-11-09,"12:00","Carl-Zeiss Jena",NA,NA,"Essen",NA,NA,NA,"Ernst-Abbe-Sportfeld","",NA,"https://fbref.com/en/stathead/matchup/teams/d1f3e535/becc1dd0/Carl-Zeiss-Jena-vs-Essen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Sun",2025-11-09,"14:00","Hamburger SV",NA,NA,"1. FC Nürnberg",NA,NA,NA,"Volksparkstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/b6d83168/623bb13e/Nurnberg-vs-Hamburger-SV-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Sun",2025-11-09,"16:00","Köln",NA,NA,"Hoffenheim",NA,NA,NA,"Franz-Kremer-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/88ddc98e/87705c62/Koln-vs-Hoffenheim-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Sun",2025-11-09,"18:30","Werder Bremen",NA,NA,"RB Leipzig",NA,NA,NA,"Weserstadion Platz 11","",NA,"https://fbref.com/en/stathead/matchup/teams/9224f982/7adbf480/RB-Leipzig-vs-Werder-Bremen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"10","Mon",2025-11-10,"18:00","Freiburg",NA,NA,"Leverkusen",NA,NA,NA,"Dreisamstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/c6d4860a/b4de690d/Leverkusen-vs-Freiburg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","Hoffenheim",NA,NA,"Bayern Munich",NA,NA,NA,"Dietmar-Hopp-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/87705c62/51ec22be/Hoffenheim-vs-Bayern-Munich-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","Freiburg",NA,NA,"Carl-Zeiss Jena",NA,NA,NA,"Dreisamstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/d1f3e535/b4de690d/Carl-Zeiss-Jena-vs-Freiburg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","1. FC Nürnberg",NA,NA,"Eint Frankfurt",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/b6d83168/97b7c0e8/Nurnberg-vs-Eintracht-Frankfurt-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","Leverkusen",NA,NA,"Essen",NA,NA,NA,"Ulrich-Haberland-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/c6d4860a/becc1dd0/Leverkusen-vs-Essen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","RB Leipzig",NA,NA,"Wolfsburg",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/a1393014/9224f982/Wolfsburg-vs-RB-Leipzig-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","Union Berlin",NA,NA,"Hamburger SV",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/623bb13e/31429172/Hamburger-SV-vs-Union-Berlin-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"11","Fri",2025-11-21,"","Werder Bremen",NA,NA,"Köln",NA,NA,NA,"Weserstadion Platz 11","",NA,"https://fbref.com/en/stathead/matchup/teams/88ddc98e/7adbf480/Koln-vs-Werder-Bremen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Hamburger SV",NA,NA,"Köln",NA,NA,NA,"Volksparkstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/88ddc98e/623bb13e/Koln-vs-Hamburger-SV-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Carl-Zeiss Jena",NA,NA,"Werder Bremen",NA,NA,NA,"Ernst-Abbe-Sportfeld","",NA,"https://fbref.com/en/stathead/matchup/teams/d1f3e535/7adbf480/Carl-Zeiss-Jena-vs-Werder-Bremen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Leverkusen",NA,NA,"RB Leipzig",NA,NA,NA,"Ulrich-Haberland-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/c6d4860a/9224f982/Leverkusen-vs-RB-Leipzig-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Essen",NA,NA,"1. FC Nürnberg",NA,NA,NA,"Stadion an der Hafenstraße","",NA,"https://fbref.com/en/stathead/matchup/teams/becc1dd0/b6d83168/Essen-vs-Nurnberg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Eint Frankfurt",NA,NA,"Bayern Munich",NA,NA,NA,"Stadion am Brentanobad","",NA,"https://fbref.com/en/stathead/matchup/teams/97b7c0e8/51ec22be/Eintracht-Frankfurt-vs-Bayern-Munich-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Wolfsburg",NA,NA,"Freiburg",NA,NA,NA,"AOK Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/b4de690d/a1393014/Freiburg-vs-Wolfsburg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"12","Fri",2025-12-05,"","Hoffenheim",NA,NA,"Union Berlin",NA,NA,NA,"Dietmar-Hopp-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/87705c62/31429172/Hoffenheim-vs-Union-Berlin-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","RB Leipzig",NA,NA,"Hoffenheim",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/9224f982/87705c62/RB-Leipzig-vs-Hoffenheim-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","1. FC Nürnberg",NA,NA,"Wolfsburg",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/b6d83168/a1393014/Nurnberg-vs-Wolfsburg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","Union Berlin",NA,NA,"Eint Frankfurt",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/97b7c0e8/31429172/Eintracht-Frankfurt-vs-Union-Berlin-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","Freiburg",NA,NA,"Essen",NA,NA,NA,"Dreisamstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/becc1dd0/b4de690d/Essen-vs-Freiburg-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","Bayern Munich",NA,NA,"Hamburger SV",NA,NA,NA,"FC Bayern Campus Platz 1","",NA,"https://fbref.com/en/stathead/matchup/teams/623bb13e/51ec22be/Hamburger-SV-vs-Bayern-Munich-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","Werder Bremen",NA,NA,"Leverkusen",NA,NA,NA,"Weserstadion Platz 11","",NA,"https://fbref.com/en/stathead/matchup/teams/c6d4860a/7adbf480/Leverkusen-vs-Werder-Bremen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"13","Fri",2025-12-12,"","Köln",NA,NA,"Carl-Zeiss Jena",NA,NA,NA,"Franz-Kremer-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/d1f3e535/88ddc98e/Carl-Zeiss-Jena-vs-Koln-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","Wolfsburg",NA,NA,"Hamburger SV",NA,NA,NA,"AOK Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/a1393014/623bb13e/Wolfsburg-vs-Hamburger-SV-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","Hoffenheim",NA,NA,"Carl-Zeiss Jena",NA,NA,NA,"Dietmar-Hopp-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/d1f3e535/87705c62/Carl-Zeiss-Jena-vs-Hoffenheim-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","Leverkusen",NA,NA,"Bayern Munich",NA,NA,NA,"Ulrich-Haberland-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/c6d4860a/51ec22be/Leverkusen-vs-Bayern-Munich-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","1. FC Nürnberg",NA,NA,"Union Berlin",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/b6d83168/31429172/Nurnberg-vs-Union-Berlin-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","RB Leipzig",NA,NA,"Köln",NA,NA,NA,"","",NA,"https://fbref.com/en/stathead/matchup/teams/9224f982/88ddc98e/RB-Leipzig-vs-Koln-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","Freiburg",NA,NA,"Werder Bremen",NA,NA,NA,"Dreisamstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/b4de690d/7adbf480/Freiburg-vs-Werder-Bremen-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"14","Fri",2025-12-19,"","Essen",NA,NA,"Eint Frankfurt",NA,NA,NA,"Stadion an der Hafenstraße","",NA,"https://fbref.com/en/stathead/matchup/teams/becc1dd0/97b7c0e8/Essen-vs-Eintracht-Frankfurt-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"15","Fri",2026-01-23,"","Köln",NA,NA,"Freiburg",NA,NA,NA,"Franz-Kremer-Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/b4de690d/88ddc98e/Freiburg-vs-Koln-History","2024-2025"
"Frauen-Bundesliga","F","GER",2025,NA,"15","Fri",2026-01-23,"","Hamburger SV",NA,NA,"Essen",NA,NA,NA,"Volksparkstadion","",NA,"https://fbref.com/en/stathead/matchup/teams/becc1dd0/623bb13e/Essen-vs-Hamburger-SV-History","2024-2025"
