matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals,home_BallPossesion,away_BallPossesion,home_total_shots,away_total_shots,home_ShotsOnTarget,away_ShotsOnTarget,home_big_chance,away_big_chance,home_big_chance_missed_title,away_big_chance_missed_title,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_corners,away_corners,home_ShotsOffTarget,away_ShotsOffTarget,home_blocked_shots,away_blocked_shots,home_shots_woodwork,away_shots_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half_passes,away_own_half_passes,home_opposition_half_passes,away_opposition_half_passes,home_long_balls_accurate,away_long_balls_accurate,home_accurate_crosses,away_accurate_crosses,home_player_throws,away_player_throws,home_Offsides,away_Offsides,home_matchstats_headers_tackles,away_matchstats_headers_tackles,home_interceptions,away_interceptions,home_shot_blocks,away_shot_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duel_won,away_duel_won,home_ground_duels_won,away_ground_duels_won,home_aerials_won,away_aerials_won,home_dribbles_succeeded,away_dribbles_succeeded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_touches_opp_box,away_touches_opp_box
4250038,2023-09-15 16:15:00+00:00,679909,SC Freiburg,671935,Bayern München,True,2,2,43.0,57.0,10.0,22.0,5.0,3.0,2.0,1.0,1.0,1.0,304.0,426.0,4.0,10.0,0.0,7.0,3.0,12.0,2.0,7.0,1.0,1.0,5.0,15.0,5.0,7.0,419.0,533.0,224.0,211.0,80.0,215.0,16.0,25.0,2.0,4.0,32.0,34.0,3.0,1.0,28.0,29.0,17.0,10.0,7.0,3.0,33.0,14.0,1.0,2.0,60.0,63.0,47.0,48.0,13.0,15.0,11.0,15.0,1.0,2.0,0.0,0.0,,
4250041,2023-09-16 10:00:00+00:00,679910,TSG 1899 Hoffenheim,856561,MSV Duisburg,True,9,0,64.0,36.0,26.0,4.0,9.0,2.0,5.0,0.0,2.0,0.0,376.0,149.0,7.0,11.0,6.0,1.0,12.0,1.0,5.0,1.0,0.0,0.0,23.0,2.0,3.0,2.0,461.0,263.0,218.0,91.0,158.0,58.0,36.0,24.0,2.0,0.0,29.0,10.0,5.0,0.0,8.0,32.0,6.0,12.0,1.0,5.0,6.0,18.0,2.0,1.0,30.0,49.0,25.0,42.0,5.0,7.0,6.0,3.0,0.0,4.0,0.0,0.0,,
4250040,2023-09-16 12:00:00+00:00,1513038,Nürnberg,672089,Werder Bremen,True,1,5,40.0,60.0,3.0,23.0,3.0,8.0,0.0,4.0,0.0,0.0,208.0,353.0,6.0,9.0,1.0,8.0,0.0,8.0,0.0,7.0,0.0,0.0,1.0,20.0,2.0,3.0,298.0,426.0,178.0,163.0,30.0,190.0,18.0,27.0,0.0,14.0,19.0,43.0,2.0,1.0,21.0,11.0,12.0,7.0,6.0,0.0,30.0,5.0,3.0,2.0,36.0,33.0,32.0,27.0,4.0,6.0,2.0,10.0,0.0,2.0,0.0,0.0,,
4250042,2023-09-17 12:00:00+00:00,672088,FC Köln,1513040,RB Leipzig,True,2,1,51.0,49.0,16.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0,210.0,204.0,4.0,19.0,9.0,3.0,7.0,3.0,4.0,4.0,0.0,0.0,9.0,3.0,7.0,6.0,325.0,317.0,142.0,122.0,68.0,82.0,27.0,15.0,5.0,3.0,41.0,25.0,2.0,1.0,10.0,17.0,13.0,12.0,3.0,3.0,17.0,25.0,1.0,3.0,43.0,32.0,35.0,25.0,8.0,7.0,6.0,4.0,0.0,3.0,1.0,1.0,,
4250055,2023-09-17 14:00:00+00:00,394121,VfL Wolfsburg,679913,Bayer Leverkusen,True,3,0,67.0,33.0,22.0,7.0,11.0,2.0,2.0,0.0,1.0,0.0,448.0,179.0,6.0,13.0,11.0,2.0,5.0,3.0,6.0,2.0,1.0,0.0,15.0,3.0,7.0,4.0,534.0,256.0,279.0,104.0,169.0,75.0,25.0,24.0,3.0,0.0,30.0,29.0,0.0,1.0,17.0,20.0,15.0,9.0,2.0,6.0,12.0,22.0,2.0,8.0,52.0,41.0,42.0,35.0,10.0,6.0,12.0,9.0,0.0,2.0,0.0,0.0,,
4250039,2023-09-17 16:30:00+00:00,674689,SGS Essen,294857,Eintracht Frankfurt,True,2,0,28.0,72.0,9.0,9.0,4.0,2.0,3.0,2.0,1.0,2.0,115.0,479.0,8.0,4.0,9.0,7.0,3.0,5.0,2.0,2.0,0.0,0.0,7.0,6.0,2.0,3.0,214.0,589.0,56.0,245.0,59.0,234.0,19.0,23.0,4.0,4.0,27.0,28.0,1.0,5.0,25.0,26.0,11.0,14.0,2.0,2.0,15.0,16.0,2.0,2.0,53.0,52.0,44.0,41.0,9.0,11.0,15.0,7.0,1.0,2.0,0.0,0.0,,
4250034,2023-09-29 16:30:00+00:00,1513040,RB Leipzig,674689,SGS Essen,True,3,2,41.0,59.0,8.0,13.0,5.0,5.0,0.0,0.0,0.0,0.0,213.0,340.0,10.0,8.0,3.0,7.0,2.0,6.0,1.0,2.0,0.0,1.0,4.0,10.0,4.0,3.0,323.0,445.0,129.0,231.0,84.0,109.0,26.0,37.0,2.0,7.0,28.0,33.0,4.0,3.0,33.0,25.0,20.0,9.0,2.0,1.0,19.0,7.0,3.0,2.0,57.0,62.0,50.0,53.0,7.0,9.0,10.0,18.0,4.0,1.0,0.0,0.0,,
4250044,2023-09-30 10:00:00+00:00,679913,Bayer Leverkusen,1513038,Nürnberg,True,6,0,65.0,35.0,22.0,3.0,11.0,1.0,4.0,0.0,0.0,0.0,412.0,188.0,15.0,13.0,11.0,0.0,5.0,2.0,6.0,0.0,2.0,2.0,13.0,1.0,9.0,2.0,474.0,256.0,194.0,165.0,218.0,23.0,30.0,16.0,6.0,1.0,17.0,20.0,2.0,1.0,12.0,20.0,20.0,11.0,0.0,6.0,5.0,29.0,1.0,5.0,50.0,44.0,42.0,38.0,8.0,6.0,18.0,4.0,1.0,2.0,0.0,0.0,52.0,2.0
4250037,2023-09-30 12:00:00+00:00,672089,Werder Bremen,679910,TSG 1899 Hoffenheim,True,1,3,52.0,48.0,12.0,21.0,5.0,9.0,3.0,5.0,2.0,2.0,207.0,200.0,16.0,7.0,13.0,5.0,5.0,4.0,2.0,8.0,0.0,0.0,9.0,15.0,3.0,6.0,330.0,324.0,112.0,138.0,95.0,62.0,22.0,20.0,10.0,5.0,36.0,34.0,0.0,2.0,20.0,25.0,8.0,11.0,7.0,2.0,12.0,27.0,6.0,4.0,45.0,63.0,32.0,47.0,13.0,16.0,5.0,7.0,3.0,2.0,0.0,0.0,24.0,27.0
4250043,2023-10-01 12:00:00+00:00,294857,Eintracht Frankfurt,394121,VfL Wolfsburg,True,2,4,46.0,54.0,6.0,20.0,5.0,8.0,1.0,3.0,0.0,1.0,241.0,303.0,10.0,14.0,2.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,5.0,16.0,1.0,4.0,366.0,430.0,142.0,190.0,99.0,113.0,23.0,29.0,1.0,8.0,34.0,31.0,7.0,1.0,16.0,32.0,13.0,22.0,3.0,1.0,11.0,17.0,4.0,3.0,47.0,68.0,37.0,52.0,10.0,16.0,9.0,10.0,0.0,1.0,0.0,0.0,17.0,31.0
