season,competition,player_id,player_name,team,matches_played,starts,total_minutes,avg_rating,total_goals,total_assists,age,position,country,start_percentage,avg_minutes_per_game,goals_per_90
2024,Frauen-Bundesliga,129780,Linda Sembrant,Bayern München,9,9,810,7.2444444444444445,2,0,37,Defender,Sweden,100.0,90.0,0.222
2024,Frauen-Bundesliga,182846,Bianca Schmidt,Turbine Potsdam,8,8,548,6.328571428571428,1,0,34,Midfielder,Germany,100.0,68.5,0.164
2024,Frauen-Bundesliga,200707,Pernille Harder,Bayern München,21,21,1721,7.747619047619047,14,5,31,Unknown,Denmark,100.0,82.0,0.732
2024,Frauen-Bundesliga,271109,Alexandra Popp,VfL Wolfsburg,18,18,1531,7.833333333333333,7,3,33,Unknown,Germany,100.0,85.1,0.411
2024,Frauen-Bundesliga,294606,Jennifer Cramer,Turbine Potsdam,15,15,1257,6.333333333333333,0,0,31,Defender,Germany,100.0,83.8,0.0
2024,Frauen-Bundesliga,294952,Svenja Huth,VfL Wolfsburg,20,20,1700,7.65,1,6,33,Unknown,Germany,100.0,85.0,0.053
2024,Frauen-Bundesliga,440356,Synne Skinnes Hansen,Bayer Leverkusen,4,4,316,6.825,0,0,29,Defender,Norway,100.0,79.0,0.0
2024,Frauen-Bundesliga,440499,Tuva Hansen,Bayern München,16,16,1370,7.28125,0,2,27,Defender,Norway,100.0,85.6,0.0
2024,Frauen-Bundesliga,483047,Aurora Mikalsen,FC Köln,7,7,630,6.8428571428571425,0,0,28,Goalkeeper,Norway,100.0,90.0,0.0
2024,Frauen-Bundesliga,734689,Merle Frohms,VfL Wolfsburg,12,12,1080,6.741666666666667,0,0,29,Goalkeeper,Germany,100.0,90.0,0.0
2024,Frauen-Bundesliga,734703,Michaela Brandenburg,Werder Bremen,6,6,386,6.74,0,0,26,Defender,Germany,100.0,64.3,0.0
2024,Frauen-Bundesliga,734709,Joelle Wedemeyer,VfL Wolfsburg,7,7,630,7.128571428571428,0,0,28,Defender,Germany,100.0,90.0,0.0
2024,Frauen-Bundesliga,773401,Magdalena Eriksson,Bayern München,8,8,678,7.2,1,0,31,Defender,Sweden,100.0,84.8,0.133
2024,Frauen-Bundesliga,856253,Lineth Beerensteyn,VfL Wolfsburg,18,18,1519,7.758823529411765,14,1,27,Unknown,Netherlands,100.0,84.4,0.829
2024,Frauen-Bundesliga,856535,Jasmin Pal,FC Köln,1,1,90,7.1,0,0,28,Goalkeeper,Austria,100.0,90.0,0.0
2024,Frauen-Bundesliga,856549,Sarah Zadrazil,Bayern München,13,13,1104,7.43076923076923,1,0,31,Midfielder,Austria,100.0,84.9,0.082
2024,Frauen-Bundesliga,856551,Barbara Dunst,Eintracht Frankfurt,10,10,845,7.69,1,5,26,Unknown,Austria,100.0,84.5,0.107
2024,Frauen-Bundesliga,856553,Laura Feiersinger,FC Köln,21,21,1835,7.20952380952381,0,4,31,Unknown,Austria,100.0,87.4,0.0
2024,Frauen-Bundesliga,856554,Nicole Billa,FC Köln,9,9,626,6.644444444444445,3,0,28,Unknown,Austria,100.0,69.6,0.431
2024,Frauen-Bundesliga,858999,Glodis Perla Viggosdottir,Bayern München,17,17,1475,7.447058823529411,1,2,29,Defender,Iceland,100.0,86.8,0.061
2024,Frauen-Bundesliga,859021,Géraldine Reuteler,Eintracht Frankfurt,20,20,1699,7.95,10,7,25,Forward,Switzerland,100.0,85.0,0.53
2024,Frauen-Bundesliga,859026,Kathrin-Julia Hendrich,VfL Wolfsburg,13,13,1033,7.015384615384615,0,0,32,Defender,Germany,100.0,79.5,0.0
2024,Frauen-Bundesliga,859027,Carolin Simon,Bayern München,18,18,1501,7.7555555555555555,3,3,31,Defender,Germany,100.0,83.4,0.18
2024,Frauen-Bundesliga,859028,Linda Dallmann,Bayern München,9,9,607,7.077777777777778,1,2,30,Unknown,Germany,100.0,67.4,0.148
2024,Frauen-Bundesliga,859029,Sara Doorsoun,Eintracht Frankfurt,18,18,1463,7.48888888888889,4,0,32,Defender,Germany,100.0,81.3,0.246
