"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW","24-323",6.3,357,309,45,11,1,0,78,2,32,23,7,0,256,3,14,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","26-296",6.2,473,444,23,22,0,4,5,1,0,0,0,0,413,6,6,"https://fbref.com/en/players/89c43b54/Georgia-Stanway","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","MF,FW","20-172",5.2,205,200,3,0,0,2,2,2,1,1,0,0,171,2,4,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-307",5,192,174,18,2,0,0,0,0,0,0,0,0,168,0,0,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF","21-002",4.6,261,216,45,5,0,2,9,39,1,0,1,0,225,0,4,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","32-345",4.3,101,97,4,0,0,1,2,0,0,0,0,0,79,0,2,"https://fbref.com/en/players/363b99a4/Pernille-Harder","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Stine Ballisager Pedersen","DEN","DF","31-296",3.8,326,315,11,7,0,1,0,0,0,0,0,0,305,0,3,"https://fbref.com/en/players/41880331/Stine-Ballisager-Pedersen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW,MF","31-054",3.6,111,106,4,0,0,0,1,4,0,0,0,0,92,1,4,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","32-336",3.4,327,264,59,8,0,1,24,42,9,6,3,0,268,4,3,"https://fbref.com/en/players/aaf0780f/Carolin-Simon","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Vanessa Gilles","CAN","DF","29-229",3.5,370,357,13,10,0,0,1,2,0,0,0,0,333,0,1,"https://fbref.com/en/players/a179cd70/Vanessa-Gilles","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","27-348",3.1,58,53,4,1,0,0,0,1,0,0,0,0,47,1,1,"https://fbref.com/en/players/4528b262/Lea-Schuller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","32-048",3,244,227,16,8,0,0,0,0,0,0,0,0,226,1,1,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","30-121",2.9,216,207,9,7,0,0,0,2,0,0,0,0,197,0,0,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","MF,FW","25-354",2.8,126,121,5,2,0,0,4,3,0,0,0,0,99,0,2,"https://fbref.com/en/players/d83b882b/Arianna-Caruso","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","FW","30-336",2.8,110,101,7,1,0,2,4,4,0,0,0,0,78,2,6,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lena Oberdorf","GER","MF","23-311",2.6,152,151,1,0,0,0,3,1,0,0,0,0,132,0,1,"https://fbref.com/en/players/74a0529b/Lena-Oberdorf","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","32-249",2.4,161,157,4,3,0,0,1,1,0,0,0,0,144,0,3,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","FW,MF","18-333",2.5,78,76,1,0,0,1,3,1,0,0,0,0,56,1,2,"https://fbref.com/en/players/70c9b883/Alara-Sehitler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Giulia Gwinn","GER","DF","26-116",2.3,155,124,30,1,0,0,9,27,2,2,0,0,122,1,2,"https://fbref.com/en/players/36cccedb/Giulia-Gwinn","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","28-083",2.3,143,128,14,0,0,0,3,14,0,0,0,0,117,1,2,"https://fbref.com/en/players/3ec11922/Tuva-Hansen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
