"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time","LeagueName","LeagueURL","StatType"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW","24-323",7,564,81,89.5,6.3,6,87,5,1,45,0,2.71,19,2,17,2.71,-0.01,13,2.8,10.3,1.64,0.24,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","26-296",7,556,79,88.3,6.2,6,88,5,1,26,0,2.71,21,2,19,3.08,3.08,12.9,3.1,9.8,1.59,-0.24,"https://fbref.com/en/players/89c43b54/Georgia-Stanway",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","MF,FW","20-172",7,466,67,74,5.2,5,74,2,2,47,0,2.71,16,1,15,2.9,0.7,10.9,1.9,9,1.74,0.47,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-307",5,450,90,71.4,5,5,90,5,0,NA,1,3,16,1,15,3,1,10.2,2.4,7.8,1.56,-0.18,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF","21-002",5,412,82,65.4,4.6,5,82,3,0,NA,1,3,13,1,12,2.62,-0.27,9.4,2.1,7.2,1.58,-0.1,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","32-345",7,390,56,61.9,4.3,4,80,1,3,24,0,2.71,13,1,12,2.77,0.14,8.7,2,6.7,1.55,-0.17,"https://fbref.com/en/players/363b99a4/Pernille-Harder",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Stine Ballisager Pedersen","DEN","DF","31-296",5,345,69,54.8,3.8,4,79,3,1,30,1,2.6,13,2,11,2.87,0.34,7,2.5,4.6,1.19,-0.93,"https://fbref.com/en/players/41880331/Stine-Ballisager-Pedersen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW,MF","31-054",5,325,65,51.6,3.6,4,74,1,1,30,1,3,11,2,9,2.49,-0.46,7.1,2.5,4.6,1.28,-0.68,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","32-336",4,308,77,48.9,3.4,4,77,2,0,NA,1,3,11,0,11,3.21,0.98,7.7,0.7,7,2.05,0.86,"https://fbref.com/en/players/aaf0780f/Carolin-Simon",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Vanessa Gilles","CAN","DF","29-229",4,315,79,50,3.5,3,90,3,1,45,0,2.5,9,0,9,2.57,-0.29,7.3,0.7,6.6,1.89,0.54,"https://fbref.com/en/players/a179cd70/Vanessa-Gilles",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","27-348",7,279,40,44.3,3.1,3,68,1,4,19,0,2.71,11,1,10,3.23,0.92,5.9,1.4,4.6,1.48,-0.24,"https://fbref.com/en/players/4528b262/Lea-Schuller",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","32-048",4,266,67,42.2,3,3,80,2,1,26,0,3,10,1,9,3.05,0.57,5.6,1.9,3.7,1.25,-0.63,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","30-121",4,257,64,40.8,2.9,3,76,1,1,30,1,2.5,6,1,5,1.75,-1.63,6.9,1,5.9,2.05,0.74,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","MF,FW","25-354",4,251,63,39.8,2.8,3,81,2,1,7,2,2.5,7,1,6,2.15,-0.94,5.6,1.7,3.8,1.38,-0.4,"https://fbref.com/en/players/d83b882b/Arianna-Caruso",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","FW","30-336",5,250,50,39.7,2.8,3,76,0,2,11,0,2.6,7,0,7,2.52,-0.32,6,0.9,5.1,1.84,0.37,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lena Oberdorf","GER","MF","23-311",5,238,48,37.8,2.6,3,50,0,2,45,1,2.6,6,1,5,1.89,-1.32,6,0.5,5.5,2.08,0.74,"https://fbref.com/en/players/74a0529b/Lena-Oberdorf",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","32-249",4,218,55,34.6,2.4,3,64,2,1,27,0,2.5,3,0,3,1.24,-2.26,4.1,0.7,3.3,1.38,-0.36,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","FW,MF","18-333",6,229,38,36.3,2.5,2,77,1,4,19,1,2.67,10,1,9,3.54,1.29,5.6,1.4,4.3,1.68,0.1,"https://fbref.com/en/players/70c9b883/Alara-Sehitler",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
