"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time","LeagueName","LeagueURL","StatType"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW","24-323",7,6,564,6.3,3,6,9,3,0,0,0,0,1.4,1.4,3.8,5.2,38,27,119,0.48,0.96,1.44,0.48,1.44,0.22,0.61,0.83,0.22,0.83,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","26-296",7,6,556,6.2,1,5,6,1,0,0,0,0,0.7,0.7,1.7,2.4,6,69,23,0.16,0.81,0.97,0.16,0.97,0.11,0.27,0.38,0.11,0.38,"https://fbref.com/en/players/89c43b54/Georgia-Stanway",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","MF,FW","20-172",7,5,466,5.2,3,0,3,3,0,0,0,0,2.8,2.8,0.5,3.2,5,33,28,0.58,0,0.58,0.58,0.58,0.54,0.09,0.63,0.54,0.63,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-307",5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF","21-002",5,5,412,4.6,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,12,23,28,0,0,0,0,0,0.06,0.12,0.18,0.06,0.18,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","32-345",7,4,390,4.3,1,0,1,0,1,1,0,0,2.6,1.9,0.9,2.8,10,20,31,0.23,0,0.23,0,0,0.6,0.2,0.81,0.44,0.64,"https://fbref.com/en/players/363b99a4/Pernille-Harder",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Stine Ballisager Pedersen","DEN","DF","31-296",5,4,345,3.8,1,1,2,1,0,0,0,0,0.6,0.6,0.1,0.7,0,31,2,0.26,0.26,0.52,0.26,0.52,0.15,0.03,0.18,0.15,0.18,"https://fbref.com/en/players/41880331/Stine-Ballisager-Pedersen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Linda Dallmann","GER","FW,MF","31-054",5,4,325,3.6,1,1,2,1,0,0,1,0,0.5,0.5,0.3,0.8,4,13,20,0.28,0.28,0.55,0.28,0.55,0.15,0.08,0.22,0.15,0.22,"https://fbref.com/en/players/5a20e7f0/Linda-Dallmann",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","32-336",4,4,308,3.4,0,1,1,0,0,0,1,0,0.2,0.2,1,1.3,5,38,34,0,0.29,0.29,0,0.29,0.06,0.31,0.37,0.06,0.37,"https://fbref.com/en/players/aaf0780f/Carolin-Simon",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Vanessa Gilles","CAN","DF","29-229",4,3,315,3.5,3,0,3,3,0,0,0,0,0.8,0.8,0,0.8,2,36,4,0.86,0,0.86,0.86,0.86,0.23,0,0.23,0.23,0.23,"https://fbref.com/en/players/a179cd70/Vanessa-Gilles",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW","27-348",7,3,279,3.1,2,3,5,2,0,0,0,0,1.7,1.7,0.6,2.3,2,7,22,0.65,0.97,1.61,0.65,1.61,0.54,0.19,0.73,0.54,0.73,"https://fbref.com/en/players/4528b262/Lea-Schuller",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","32-048",4,3,266,3,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,0,12,1,0.34,0,0.34,0.34,0.34,0.07,0.03,0.09,0.07,0.09,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Glódís Perla Viggósdóttir","ISL","DF","30-121",4,3,257,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,0,22,0,0,0,0,0,0,0.1,0.09,0.19,0.1,0.19,"https://fbref.com/en/players/ab0e7355/Glodis-Perla-Viggosdottir",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","MF,FW","25-354",4,3,251,2.8,1,1,2,1,0,0,0,0,0.3,0.3,0.8,1.1,1,16,13,0.36,0.36,0.72,0.36,0.72,0.12,0.29,0.41,0.12,0.41,"https://fbref.com/en/players/d83b882b/Arianna-Caruso",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","FW","30-336",5,3,250,2.8,0,1,1,0,0,0,0,0,0.6,0.6,0.2,0.8,6,8,24,0,0.36,0.36,0,0.36,0.21,0.07,0.29,0.21,0.29,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lena Oberdorf","GER","MF","23-311",5,3,238,2.6,3,0,3,3,0,0,0,0,0.6,0.6,0.2,0.8,0,15,11,1.13,0,1.13,1.13,1.13,0.24,0.08,0.32,0.24,0.32,"https://fbref.com/en/players/74a0529b/Lena-Oberdorf",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","32-249",4,3,218,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,21,8,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","FW,MF","18-333",6,2,229,2.5,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,6,3,8,0.39,0,0.39,0.39,0.39,0.31,0.03,0.34,0.31,0.34,"https://fbref.com/en/players/70c9b883/Alara-Sehitler",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Giulia Gwinn","GER","DF","26-116",4,2,207,2.3,0,1,1,0,0,0,0,0,0,0,0.3,0.3,4,9,19,0,0.43,0.43,0,0.43,0,0.12,0.12,0,0.12,"https://fbref.com/en/players/36cccedb/Giulia-Gwinn",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","28-083",5,2,203,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,5,6,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,"https://fbref.com/en/players/3ec11922/Tuva-Hansen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Katharina Naschenweng","AUT","DF","27-314",3,2,200,2.2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,5,18,20,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,"https://fbref.com/en/players/ea029c1b/Katharina-Naschenweng",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Maria-Luisa Grohs","GER","GK","24-135",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3668e21b/Maria-Luisa-Grohs",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Natalia Padilla-Bidas","POL","FW","22-354",1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/218cf7c1/Natalia-Padilla-Bidas",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Anna Klink","GER","GK","30-218",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bf4c1b19/Anna-Klink",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Stina Johannes","GER","GK","25-276",7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d8f1def3/Stina-Johannes",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Janina Minge","GER","MF","26-137",7,7,630,7,3,2,5,2,1,1,0,0,2.1,1.4,0.6,2,4,74,19,0.43,0.29,0.71,0.29,0.57,0.3,0.09,0.39,0.19,0.29,"https://fbref.com/en/players/7c63ff02/Janina-Minge",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Janou Levels","NED","DF","24-361",7,7,571,6.3,1,3,4,1,0,0,1,0,0.6,0.6,1.7,2.3,23,45,48,0.16,0.47,0.63,0.16,0.63,0.09,0.27,0.36,0.09,0.36,"https://fbref.com/en/players/063d4d11/Janou-Levels",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Alexandra Popp","GER","MF,FW","34-203",7,7,567,6.3,4,3,7,4,0,0,1,0,4.1,4.1,2.1,6.2,2,24,32,0.63,0.48,1.11,0.63,1.11,0.65,0.33,0.98,0.65,0.98,"https://fbref.com/en/players/655e7bd0/Alexandra-Popp",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Camilla Küver","GER","DF","22-138",6,6,540,6,1,0,1,1,0,0,0,0,0.6,0.6,0.3,1,6,56,6,0.17,0,0.17,0.17,0.17,0.11,0.05,0.16,0.11,0.16,"https://fbref.com/en/players/63b899d4/Camilla-Kuver",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Svenja Huth","GER","FW,MF","34-274",6,6,539,6,1,2,3,1,0,0,1,0,0.7,0.7,2.8,3.5,16,23,70,0.17,0.33,0.5,0.17,0.5,0.12,0.48,0.6,0.12,0.6,"https://fbref.com/en/players/8b5f141c/Svenja-Huth",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Caitlin Dijkstra","NED","DF","26-269",6,6,505,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,5,47,7,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,"https://fbref.com/en/players/29429b4b/Caitlin-Dijkstra",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Joelle Wedemeyer","GER","DF","29-075",6,6,436,4.8,0,0,0,0,0,0,2,1,0.7,0.7,0.1,0.8,6,40,17,0,0,0,0,0,0.14,0.02,0.17,0.14,0.17,"https://fbref.com/en/players/2e03aaa7/Joelle-Wedemeyer",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Justine Kielland","NOR","MF,FW","22-338",6,5,406,4.5,0,4,4,0,0,0,0,0,0.6,0.6,1.6,2.2,5,30,12,0,0.89,0.89,0,0.89,0.13,0.36,0.5,0.13,0.5,"https://fbref.com/en/players/b7fb0749/Justine-Kielland",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Cora Zicai","GER","FW","20-331",7,5,406,4.5,2,0,2,2,0,0,1,0,1.6,1.6,0.8,2.4,16,17,69,0.44,0,0.44,0.44,0.44,0.35,0.18,0.53,0.35,0.53,"https://fbref.com/en/players/7b88d1f0/Cora-Zicai",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Ella Inez Peddemors","NED","MF,DF","23-081",6,4,395,4.4,2,1,3,2,0,0,0,0,0.8,0.8,0.6,1.5,3,24,16,0.46,0.23,0.68,0.46,0.68,0.18,0.15,0.33,0.18,0.33,"https://fbref.com/en/players/fc47f599/Ella-Inez-Peddemors",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Lineth Beerensteyn","NED","FW","29-015",6,4,347,3.9,5,0,5,4,1,1,0,0,3.6,2.9,0.1,3,6,4,17,1.3,0,1.3,1.04,1.04,0.94,0.02,0.96,0.75,0.77,"https://fbref.com/en/players/40ecae9f/Lineth-Beerensteyn",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Vivien Endemann","GER","FW","24-080",5,3,249,2.8,2,2,4,2,0,0,0,0,0.5,0.5,1,1.5,7,12,49,0.72,0.72,1.45,0.72,1.45,0.18,0.37,0.55,0.18,0.55,"https://fbref.com/en/players/e602c142/Vivien-Endemann",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Kessya Bussy","FRA","FW","24-129",6,2,251,2.8,2,2,4,2,0,0,2,0,2,2,0.6,2.7,6,7,29,0.72,0.72,1.43,0.72,1.43,0.73,0.23,0.96,0.73,0.96,"https://fbref.com/en/players/fa205073/Kessya-Bussy",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
"2025-2026","Wolfsburg","Frauen-Bundesliga","Sarai Linder","GER","DF","26-000",4,1,190,2.1,0,0,0,0,0,0,0,0,0,0,0.1,0.2,4,8,13,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,"https://fbref.com/en/players/bedec045/Sarai-Linder",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","standard"
