Pos,Team,P,W,D,L,GF,GA,GD,Pts,Champ %,Top 2 %,Top 3 %,Top 5 %,Rel. %,Safe %
1,Bayern München,26.0,17.993,4.86,3.147,54.814,12.104,42.71,58.839,65.4,90.60000000000001,97.39999999999999,99.7,0.0,100.0
2,VfL Wolfsburg,26.0,16.987,4.458,4.555,61.773,23.007,38.766,55.419,26.8,75.1,92.0,99.3,0.0,100.0
3,Eintracht Frankfurt,26.0,15.769,3.748,6.483,50.935,23.813,27.122,51.055,6.4,25.5,67.5,96.5,0.0,100.0
4,Bayer Leverkusen,27.0,14.56,3.849,8.591,38.5,25.654,12.846,47.529,0.8,5.7,26.3,81.39999999999999,0.0,100.0
5,TSG 1899 Hoffenheim,26.0,13.032,4.887,8.081,42.666,24.603,18.063,43.983,0.3,1.3,8.200000000000001,56.599999999999994,0.0,100.0
6,Freiburg,26.0,12.815,5.296,7.889,40.028,29.572,10.456,43.741,0.3,1.7000000000000002,7.9,49.2,0.0,100.0
7,Union Berlin,26.0,11.805,4.59,9.605,36.288,29.744,6.544,40.005,0.0,0.1,0.7000000000000001,16.3,0.0,100.0
8,FC Köln,27.0,9.488,4.257,13.255,24.71,36.483,-11.773,32.721,0.0,0.0,0.0,0.5,0.4,99.6
9,RB Leipzig,26.0,8.586,5.221,12.193,27.398,37.138,-9.74,30.979,0.0,0.0,0.0,0.5,0.2,99.8
10,SGS Essen,26.0,7.817,5.307,12.876,24.658,41.756,-17.098,28.758,0.0,0.0,0.0,0.0,1.4000000000000001,98.6
11,Werder Bremen,26.0,7.531,5.253,13.216,24.742,42.633,-17.891,27.846,0.0,0.0,0.0,0.0,1.6,98.4
12,Hamburger SV,26.0,6.788,6.126,13.086,22.954,45.806,-22.852,26.49,0.0,0.0,0.0,0.0,3.6999999999999997,96.3
13,FC Carl Zeiss Jena,26.0,3.243,5.429,17.328,16.589,49.663,-33.074,15.158,0.0,0.0,0.0,0.0,93.2,6.799999999999997
14,1. FC Nürnberg,26.0,1.936,6.019,18.045,12.424,56.503,-44.079,11.827,0.0,0.0,0.0,0.0,99.5,0.5
