matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals,home_BallPossesion,away_BallPossesion,home_total_shots,away_total_shots,home_ShotsOnTarget,away_ShotsOnTarget,home_big_chance,away_big_chance,home_big_chance_missed_title,away_big_chance_missed_title,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_corners,away_corners,home_ShotsOffTarget,away_ShotsOffTarget,home_blocked_shots,away_blocked_shots,home_shots_woodwork,away_shots_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half_passes,away_own_half_passes,home_opposition_half_passes,away_opposition_half_passes,home_long_balls_accurate,away_long_balls_accurate,home_accurate_crosses,away_accurate_crosses,home_player_throws,away_player_throws,home_touches_opp_box,away_touches_opp_box,home_Offsides,away_Offsides,home_matchstats_headers_tackles,away_matchstats_headers_tackles,home_interceptions,away_interceptions,home_shot_blocks,away_shot_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duel_won,away_duel_won,home_ground_duels_won,away_ground_duels_won,home_aerials_won,away_aerials_won,home_dribbles_succeeded,away_dribbles_succeeded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season
3952581,2022-09-16 18:30:00+00:00,258657,Arsenal Women,231505,Brighton Women,True,4,0,74,26,38,3,14,1,0,0,0,0,564,144,6,7,13,1,12,2,12,0,1,0,27,2,11,1,642,229,176,122,388,22,53,10,6,0,18,18,,,6,0,15,19,13,24,0,12,1,15,1,10,39,33,31,27,8,6,9,4,0,0,0,0,2022-2023
3952573,2022-09-17 11:00:00+00:00,954396,Man United Women,231483,Reading FC Women,True,4,0,72,28,24,2,8,1,2,0,1,0,517,151,5,9,12,2,8,1,8,0,0,0,21,2,3,0,598,227,277,113,240,38,30,16,12,1,26,22,,,4,1,6,11,15,20,0,7,3,34,1,4,25,27,18,18,7,9,5,2,0,0,0,0,2022-2023
3952580,2022-09-18 11:30:00+00:00,231494,Aston Villa Women,231488,Man City Women,True,4,3,37,63,13,15,7,7,1,0,0,0,209,434,9,9,3,6,5,3,1,5,0,0,7,9,6,6,294,510,137,260,72,174,22,33,3,4,21,18,,,0,0,11,14,22,16,5,1,4,7,4,3,32,36,22,27,10,9,2,4,0,1,0,0,2022-2023
3952574,2022-09-18 14:00:00+00:00,231497,West Ham Women,258663,Everton Women,True,1,0,34,66,7,10,2,3,1,0,0,0,180,455,15,7,5,4,4,4,1,3,0,0,5,8,2,2,292,561,91,304,89,151,22,20,3,5,30,31,,,1,0,26,17,6,15,2,1,13,13,3,1,45,45,38,40,7,5,5,8,3,0,0,0,2022-2023
3952571,2022-09-18 14:00:00+00:00,614954,Leicester City WFC,628117,Tottenham Women,True,1,2,41,59,7,9,1,4,0,0,0,0,265,412,15,10,1,6,3,1,3,4,0,0,5,5,2,4,368,524,179,231,86,181,22,20,2,2,24,48,,,1,1,35,27,23,8,4,3,15,9,2,1,55,48,48,43,7,5,3,2,0,0,0,0,2022-2023
3952572,2022-09-18 16:00:00+00:00,258665,Liverpool Women,258661,Chelsea Women,True,2,1,31,69,6,10,2,4,2,2,0,1,179,519,8,7,0,4,3,4,1,2,0,0,4,9,2,1,284,622,133,282,46,237,14,48,0,2,26,34,,,1,4,17,17,18,8,2,0,8,3,3,0,29,43,26,25,3,18,3,0,0,0,0,0,2022-2023
3952585,2022-09-24 12:30:00+00:00,258657,Arsenal,628117,Tottenham Hotspur,True,4,0,68,32,16,4,4,1,1,0,0,0,457,194,3,11,14,1,7,3,5,0,0,0,13,1,3,3,535,257,293,144,164,50,24,16,8,1,28,20,43.0,3.0,4,0,18,15,20,38,0,5,2,31,1,0,37,24,32,20,5,4,3,2,1,3,0,0,2022-2023
3952586,2022-09-25 13:00:00+00:00,231505,Brighton,231483,Reading FC Women,True,2,1,42,58,15,13,7,4,2,1,2,1,216,309,13,10,1,9,5,7,3,2,0,0,11,9,4,4,311,426,115,203,101,106,21,32,3,7,29,30,20.0,25.0,4,3,18,22,16,14,2,2,18,12,3,5,43,44,31,37,12,7,4,3,2,1,0,0,2022-2023
3952588,2022-09-25 14:00:00+00:00,614954,Leicester City,231494,Aston Villa,True,0,2,44,56,14,15,4,6,1,2,1,0,247,359,11,10,4,4,4,4,6,5,0,1,8,9,6,6,351,453,147,188,100,171,17,35,7,4,21,24,22.0,21.0,0,1,16,23,12,16,4,6,15,22,4,4,35,44,29,36,6,8,3,2,0,1,0,0,2022-2023
3952590,2022-09-25 14:00:00+00:00,231497,West Ham United,954396,Manchester United,True,0,2,34,66,9,20,1,8,0,2,0,1,164,460,10,6,2,11,3,5,5,7,0,0,4,14,5,6,284,568,94,283,70,177,23,27,1,6,20,20,8.0,35.0,1,5,19,15,12,19,7,5,19,8,6,1,34,37,27,30,7,7,2,7,0,3,0,0,2022-2023
